"Order" "AnalysisTaxon" "Filename" "Type"
"1" "Odonata" "Odonata" "SMTP_Odonata_RH.xls" "quantitative"
"2" "Odonata" "Odonata" "SMTP_Odonata_SH.xls" "quantitative"
"3" "Plecoptera" "Plecoptera" "SMTP_Plecoptera_AG.xls" "quantitative"
"4" "Dermaptera" "Dermaptera" "SMTP_Dermaptera_JH.xls" "quantitative"
"6" "Thysanoptera" "Thysanoptera" "SMTP_Thysanoptera_Sverre_Kobro02.xls" "quantitative"
"7" "Hemiptera" "Auchenorrhyncha excl Delphacidae" "SMTP_Auchenorrhyncha.xls" "quantitative"
"14" "Coleoptera" "Coleoptera" "SMTP_Coleoptera.xls" "quantitative"
"15" "Coleoptera" "Coleoptera" "SMTP_Coleoptera2.xls" "quantitative"
"16" "Trichoptera" "Trichoptera" "SMTP_Trichoptera_AG.xls" "quantitative"
"17" "Trichoptera" "Trichoptera" "SMTP_Trichoptera_KAJ.xls" "quantitative"
"18" "Lepidoptera" "Microlepidoptera" "SMTP_Microlepidoptera_0602_ML.xls" "quantitative"
"19" "Lepidoptera" "Macrolepidoptera" "SMTP_Macrolepidoptera_0602_ML.xls" "quantitative"
"20" "Lepidoptera" "Macrolepidoptera" "SMTP_Geometridae_C.xls" "quantitative"
"21" "Lepidoptera" "Macrolepidoptera" "SMTP_Hesperiidae_C.xls" "quantitative"
"22" "Lepidoptera" "Macrolepidoptera" "SMTP_Noctuidae_C.xls" "quantitative"
"23" "Lepidoptera" "Macrolepidoptera" "SMTP_Papilionoidea_C.xls" "quantitative"
"24" "Strepsiptera" "Strepsiptera" "SMTP_Strepsiptera_2.xls" "quantitative"
"25" "Strepsiptera" "Strepsiptera" "SMTP_Strepsiptera_1_RH.xls" "quantitative"
"26" "Strepsiptera" "Strepsiptera" "SMTP_Strepsiptera_C_MH.xls" "quantitative"
"27" "Diptera" "Mycetophilidae+Keroplatidae" "SMTP_Mycetophilidae_etc.xls" "quantitative"
"28" "Diptera" "Small mycetophiloid families" "SMTP_Diadociidae_etc_JK.xls" "quantitative"
"29" "Diptera" "Small mycetophiloid families" "SMTP_Mycetobiidae_SM.xls" "quantitative"
"30" "Diptera" "Small mycetophiloid families" "SMTP_Diadocidia_SM1.xls" "quantitative"
"31" "Diptera" "Small mycetophiloid families" "SMTP_Diadocidia_SM2.xls" "quantitative"
"32" "Diptera" "Small mycetophiloid families" "SMTP_Ditomyiidae_SM.xls" "quantitative"
"33" "Diptera" "Dixidae" "SMTP_Dixidae_S_Martinsson.xls" "quantitative"
"34" "Diptera" "Pachyneuridae" "SMTP_Pachyneuridae.xls" "quantitative"
"36" "Diptera" "Phoridae" "SMTP_Phoridae1.xls" "quantitative"
"37" "Diptera" "Phoridae" "SMTP_Phoridae2.xls" "quantitative"
"38" "Diptera" "Phoridae" "SMTP_Phoridae3.xls" "quantitative"
"39" "Diptera" "Phoridae" "SMTP_Phoridae4.xls" "quantitative"
"40" "Diptera" "Phoridae" "SMTP_Phoridae5.xls" "quantitative"
"41" "Diptera" "Phoridae" "SMTP_Phoridae6.xls" "quantitative"
"42" "Diptera" "Dolichopodidae" "SMTP_Dolichopodidae_1.xls" "quantitative"
"43" "Diptera" "Dolichopodidae" "SMTP_Dolichopodidae_2.xls" "quantitative"
"44" "Diptera" "Drosophilidae" "SMTP_Drosophilidae_GB.xls" "quantitative"
"45" "Diptera" "Sepsidae" "SMTP_Sepsidae_RM.xls" "quantitative"
"46" "Diptera" "Heleomyzidae+Odiniidae" "SMTP_Heleomyzidae1.xls" "quantitative"
"47" "Diptera" "Heleomyzidae+Odiniidae" "SMTP_Odiniidae_PW.xls" "quantitative"
"48" "Diptera" "Chloropidae" "SMTP_Chloropidae_EPN.xls" "quantitative"
"49" "Diptera" "Piophilidae" "SMTP_Piophilidae_PW.xls" "quantitative"
"50" "Diptera" "Sciomyzidae" "SMTP_Sciomyzidae.xls" "quantitative"
"51" "Diptera" "Lonchaeidae" "SMTP_Lonchaeidae_v2.xls" "quantitative"
"52" "Diptera" "Milichiidae excl Phyllomyza" "SMTP_Milichiidae_1.xls" "quantitative"
"53" "Diptera" "Milichiidae excl Phyllomyza" "SMTP_Milichiidae_2.xls" "quantitative"
"54" "Diptera" "Muscidae" "SMTP_Muscidae_SL.xls" "quantitative"
"55" "Diptera" "Anthomyzidae" "SMTP_Anthomyzidae.xls" "quantitative"
"56" "Diptera" "Anthomyzidae" "SMTP_Anthomyzidae2_JR.xls" "quantitative"
"57" "Diptera" "Tephritidae+Ulidiidae" "SMTP_Tephritoidea_JS.xls" "quantitative"
"58" "Diptera" "Acartophthalmidae" "SMTP_Acartophthalmidae_VN.xls" "quantitative"
"59" "Diptera" "Lauxaniidae" "SMTP_Lauxaniidae.xls" "quantitative"
"60" "Diptera" "Trixoscelididae" "SMTP_Trixoscelididae.xls" "quantitative"
"61" "Diptera" "Pallopteridae" "SMTP_Pallopteridae_PW.xls" "quantitative"
"62" "Diptera" "Asteiidae" "SMTP_Asteiidae_PW.xls" "quantitative"
"63" "Diptera" "Syrphidae" "SMTP_Syrphidae.xls" "quantitative"
"64" "Diptera" "Dryomyzidae" "SMTP_Dryomyzidae.xls" "quantitative"
"65" "Diptera" "Dryomyzidae" "SMTP_Dryomyzidae2.xls" "quantitative"
"66" "Diptera" "Conopidae" "SMTP_Conopidae_FOE.xls" "quantitative"
"67" "Diptera" "Aulacigastridae" "SMTP_Aulacigastridae.xls" "quantitative"
"68" "Diptera" "Clusiidae" "SMTP_Clusiidae.xls" "quantitative"
"69" "Diptera" "Asilidae" "SMTP_Asilidae.xls" "quantitative"
"70" "Diptera" "Therevidae" "SMTP_Therevidae.xls" "quantitative"
"71" "Hymenoptera" "Symphyta" "SMTP_Symphyta_1.xls" "quantitative"
"72" "Hymenoptera" "Symphyta" "SMTP_Symphyta_2.xls" "quantitative"
