"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	2	787	"2004.vi.21"
"2"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	24	817	"2003.vii.15"
"3"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	21	240	"2003.viii.01"
"4"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	51	1233	"2004.vii.21"
"5"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	24	818	"2003.viii.01"
"6"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	31	1063	"2004.viii.22"
"7"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	22	244	"2003.vi.25"
"8"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	21	238	"2003.vi.25"
"9"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	10	24	816	"2003.vi.26"
"10"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	1001	1332	"2005.vii.02"
"11"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	22	1725	"2006.v.20"
"12"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	20	234	"2003.vii.20"
"13"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	16	1666	"2005.v.28"
"14"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	1	13	1648	"2005.viii.23"
"15"	"Elenchus"	"tenuicornis"	"(Kirby, 1815)"	3	16	1667	"2005.vii.05"
"16"	"Halictophagus"	"sp 1"	"sp. indet."	1	2	785	"2004.i.28"
"17"	"Halictophagus"	"sp 1"	"sp. indet."	1	38	1443	"2005.v.24"
"18"	"Halictophagus"	"sp 1"	"sp. indet."	1	2	81	"2003.vi.08"
