"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	36	565	"2004.i.24"
"2"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	42	645	"2003.vii.25"
"3"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	33	534	"2003.x.21"
"4"	"Embolemus"	"ruddii"	"Westwood, 1833"	4	1002	1379	"2005.viii.12"
"5"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	24	1674	"2005.vii.20"
"6"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	43	1172	"2004.viii.11"
"7"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	1001	1434	"2005.x.10"
"8"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	39	608	"2003.x.13"
"9"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	33	533	"2003.x.08"
"10"	"Embolemus"	"ruddii"	"Westwood, 1833"	2	1002	1891	"2005.x.03"
"11"	"Embolemus"	"ruddii"	"Westwood, 1833"	3	1003	1389	"2005.vii.24"
"12"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	44	1190	"2004.ix.24"
"13"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	42	646	"2003.ix.10"
"14"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	33	1082	"2004.viii.09"
"15"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	4	814	"2004.x.21"
"16"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	1000	1428	"2005.x.10"
"17"	"Embolemus"	"ruddii"	"Westwood, 1833"	2	43	1175	"2004.ix.22"
"18"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	49	2062	" 2003.vii.21"
"19"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	60	216	"2003.viii.18"
"20"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	34	548	"2003.ix.13"
"21"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	28	1462	"2005.iv.01"
"22"	"Embolemus"	"ruddii"	"Westwood, 1833"	2	24	820	"2003.ix.13"
"23"	"Embolemus"	"ruddii"	"Westwood, 1833"	4	34	547	"2003.viii.20"
"24"	"Embolemus"	"ruddii"	"Westwood, 1833"	2	33	532	"2003.ix.24"
"25"	"Embolemus"	"ruddii"	"Westwood, 1833"	2	36	829	"2004.ix.08"
"26"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	57	206	"2003.ix.22"
"27"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	20	234	"2003.vii.20"
"28"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	24	820	"2003.ix.13"
"29"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	20	236	"2003.ix.01"
"30"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	61	219	"2003.viii.01"
"31"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	49	709	"2003.viii.22"
"32"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	60	1299	"2004.ix.24"
"33"	"Embolemus"	"ruddii"	"Westwood, 1833"	3	42	645	"2003.vii.25"
"34"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	37	835	"2004.viii.06"
"35"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	57	206	"2003.ix.22"
"36"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	54	191	"2003.viii.01"
"37"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	57	205	"2003.ix.01"
"38"	"Embolemus"	"ruddii"	"Westwood, 1833"	1	53	1249	"2004.ix.03"
